=== Run information ===

Scheme:       weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
Relation:     df_m-weka.filters.unsupervised.attribute.Remove-R2
Instances:    144908
Attributes:   14
              HORA
              CHOQUE_CON
              TIPO LUGAR
              GRAVEDAD
              TIPO PERSONA
              EDAD
              SEXO
              LOCALIDAD
              LATITUD
              LONGITUD
              PERSONAS IMPLICADAS
              DIA_SEMANA
              LLUVIA
              RADIACION
Test mode:    split 80.0% train, remainder test

=== Classifier model (full training set) ===

RandomForest

Bagging with 100 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities

Time taken to build model: 33.93 seconds


=== Classifier model for training split (115926 instances) ===

RandomForest

Bagging with 100 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities
=== Predictions on test split ===

inst#,actual,predicted,error,prediction
1,2:'Con Heridos',2:Con Heridos,,0.96
2,1:'Solo Da̱os',1:Solo Da̱os,,0.97
3,1:'Solo Da̱os',1:Solo Da̱os,,0.96
4,2:'Con Heridos',1:Solo Da̱os,+,0.6
5,1:'Solo Da̱os',1:Solo Da̱os,,0.92
6,1:'Solo Da̱os',1:Solo Da̱os,,0.623
7,1:'Solo Da̱os',1:Solo Da̱os,,0.99
8,2:'Con Heridos',1:Solo Da̱os,+,0.97
9,1:'Solo Da̱os',1:Solo Da̱os,,0.85
10,1:'Solo Da̱os',1:Solo Da̱os,,1
11,2:'Con Heridos',1:Solo Da̱os,+,0.509
12,2:'Con Heridos',2:Con Heridos,,0.906
13,1:'Solo Da̱os',1:Solo Da̱os,,0.83
14,2:'Con Heridos',2:Con Heridos,,0.82
15,1:'Solo Da̱os',1:Solo Da̱os,,0.96
16,2:'Con Heridos',2:Con Heridos,,0.8
17,1:'Solo Da̱os',1:Solo Da̱os,,0.91
18,1:'Solo Da̱os',1:Solo Da̱os,,0.83
19,1:'Solo Da̱os',1:Solo Da̱os,,0.79
20,2:'Con Heridos',1:Solo Da̱os,+,0.723
21,1:'Solo Da̱os',1:Solo Da̱os,,0.863
22,1:'Solo Da̱os',1:Solo Da̱os,,0.66
23,1:'Solo Da̱os',1:Solo Da̱os,,0.93
24,1:'Solo Da̱os',1:Solo Da̱os,,0.9
25,1:'Solo Da̱os',1:Solo Da̱os,,1
26,1:'Solo Da̱os',1:Solo Da̱os,,0.98
27,1:'Solo Da̱os',1:Solo Da̱os,,0.98
28,1:'Solo Da̱os',1:Solo Da̱os,,0.99
29,1:'Solo Da̱os',1:Solo Da̱os,,0.99
30,1:'Solo Da̱os',1:Solo Da̱os,,0.92
31,1:'Solo Da̱os',1:Solo Da̱os,,0.87
32,1:'Solo Da̱os',1:Solo Da̱os,,0.99
33,1:'Solo Da̱os',1:Solo Da̱os,,0.95
34,2:'Con Heridos',1:Solo Da̱os,+,0.88
35,1:'Solo Da̱os',1:Solo Da̱os,,0.57
36,1:'Solo Da̱os',1:Solo Da̱os,,0.82
37,1:'Solo Da̱os',1:Solo Da̱os,,0.98
