=== Run information ===

Scheme:       weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
Relation:     df_meteo_cluster-weka.filters.unsupervised.attribute.Remove-R1,4,12,14-15
Instances:    144908
Attributes:   10
              HORA
              CLASE SINIESTRO
              TIPO LUGAR
              GRAVEDAD
              TIPO PERSONA
              SEXO
              PERSONAS IMPLICADAS
              DIA_SEMANA
              LLUVIA
              Cluster
Test mode:    split 80.0% train, remainder test

=== Classifier model (full training set) ===

RandomForest

Bagging with 100 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities

Time taken to build model: 19.18 seconds


=== Classifier model for training split (115926 instances) ===

RandomForest

Bagging with 100 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities
=== Predictions on test split ===

inst#,actual,predicted,error,prediction
1,2:'Con Heridos',1:Solo Da̱os,+,0.622
2,1:'Solo Da̱os',1:Solo Da̱os,,0.94
3,1:'Solo Da̱os',1:Solo Da̱os,,0.867
4,2:'Con Heridos',2:Con Heridos,,0.516
5,1:'Solo Da̱os',1:Solo Da̱os,,0.786
6,1:'Solo Da̱os',2:Con Heridos,+,0.644
7,1:'Solo Da̱os',1:Solo Da̱os,,0.935
8,2:'Con Heridos',1:Solo Da̱os,+,0.93
9,1:'Solo Da̱os',1:Solo Da̱os,,0.841
10,1:'Solo Da̱os',1:Solo Da̱os,,0.94
11,2:'Con Heridos',1:Solo Da̱os,+,0.53
12,2:'Con Heridos',2:Con Heridos,,0.997
13,1:'Solo Da̱os',1:Solo Da̱os,,0.785
14,2:'Con Heridos',1:Solo Da̱os,+,0.653
15,1:'Solo Da̱os',1:Solo Da̱os,,0.805
16,2:'Con Heridos',2:Con Heridos,,0.701
17,1:'Solo Da̱os',1:Solo Da̱os,,0.871
18,1:'Solo Da̱os',1:Solo Da̱os,,0.942
19,1:'Solo Da̱os',1:Solo Da̱os,,0.775
20,2:'Con Heridos',1:Solo Da̱os,+,0.817
21,1:'Solo Da̱os',1:Solo Da̱os,,0.929
22,1:'Solo Da̱os',2:Con Heridos,+,0.682
