=== Run information ===

Scheme:       weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
Relation:     df_sin_m-weka.filters.unsupervised.attribute.Remove-R2
Instances:    325958
Attributes:   12
              HORA
              CHOQUE_CON
              TIPO LUGAR
              GRAVEDAD
              TIPO PERSONA
              EDAD
              SEXO
              LOCALIDAD
              LATITUD
              LONGITUD
              PERSONAS IMPLICADAS
              DIA_SEMANA
Test mode:    split 80.0% train, remainder test

=== Classifier model (full training set) ===

RandomForest

Bagging with 100 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities

Time taken to build model: 92.47 seconds


=== Classifier model for training split (260766 instances) ===

RandomForest

Bagging with 100 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities
=== Predictions on test split ===

inst#,actual,predicted,error,prediction
1,2:'Solo Da̱os',2:Solo Da̱os,,0.99
2,2:'Solo Da̱os',2:Solo Da̱os,,0.616
3,1:'Con Heridos',1:Con Heridos,,0.814
4,2:'Solo Da̱os',2:Solo Da̱os,,0.98
5,1:'Con Heridos',1:Con Heridos,,0.97
6,1:'Con Heridos',1:Con Heridos,,0.93
7,2:'Solo Da̱os',2:Solo Da̱os,,0.99
8,2:'Solo Da̱os',2:Solo Da̱os,,0.94
9,2:'Solo Da̱os',2:Solo Da̱os,,0.899
10,1:'Con Heridos',1:Con Heridos,,0.62
11,1:'Con Heridos',1:Con Heridos,,0.89
12,2:'Solo Da̱os',2:Solo Da̱os,,0.96
13,2:'Solo Da̱os',2:Solo Da̱os,,0.934
14,2:'Solo Da̱os',2:Solo Da̱os,,0.96
15,2:'Solo Da̱os',1:Con Heridos,+,0.59
16,2:'Solo Da̱os',2:Solo Da̱os,,0.948
17,2:'Solo Da̱os',2:Solo Da̱os,,0.9
18,1:'Con Heridos',2:Solo Da̱os,+,0.64
19,3:'Con Muertos',2:Solo Da̱os,+,0.616
20,2:'Solo Da̱os',2:Solo Da̱os,,0.94
21,2:'Solo Da̱os',2:Solo Da̱os,,0.976
22,1:'Con Heridos',1:Con Heridos,,0.64
23,1:'Con Heridos',2:Solo Da̱os,+,0.631
24,2:'Solo Da̱os',1:Con Heridos,+,0.53
25,2:'Solo Da̱os',2:Solo Da̱os,,0.93
26,2:'Solo Da̱os',2:Solo Da̱os,,0.91
27,2:'Solo Da̱os',2:Solo Da̱os,,0.96
28,1:'Con Heridos',1:Con Heridos,,1
29,2:'Solo Da̱os',2:Solo Da̱os,,0.99
30,2:'Solo Da̱os',2:Solo Da̱os,,1
31,1:'Con Heridos',2:Solo Da̱os,+,0.51
32,1:'Con Heridos',1:Con Heridos,,0.6
33,2:'Solo Da̱os',2:Solo Da̱os,,0.54
34,2:'Solo Da̱os',2:Solo Da̱os,,0.95
35,2:'Solo Da̱os',2:Solo Da̱os,,0.96
36,2:'Solo Da̱os',2:Solo Da̱os,,0.951
37,2:'Solo Da̱os',2:Solo Da̱os,,0.96
38,2:'Solo Da̱os',2:Solo Da̱os,,0.918
39,1:'Con Heridos',1:Con Heridos,,0.84
40,2:'Solo Da̱os',2:Solo Da̱os,,0.92
41,1:'Con Heridos',1:Con Heridos,,0.819
42,2:'Solo Da̱os',2:Solo Da̱os,,0.97
43,2:'Solo Da̱os',2:Solo Da̱os,,0.69
44,3:'Con Muertos',2:Solo Da̱os,+,0.651
45,1:'Con Heridos',1:Con Heridos,,0.94
46,2:'Solo Da̱os',2:Solo Da̱os,,0.99
47,1:'Con Heridos',2:Solo Da̱os,+,1
48,2:'Solo Da̱os',2:Solo Da̱os,,0.89
49,2:'Solo Da̱os',2:Solo Da̱os,,0.916
50,1:'Con Heridos',2:Solo Da̱os,+,0.507
51,2:'Solo Da̱os',2:Solo Da̱os,,0.94
52,1:'Con Heridos',1:Con Heridos,,0.97
53,2:'Solo Da̱os',2:Solo Da̱os,,1
54,2:'Solo Da̱os',2:Solo Da̱os,,0.857
55,2:'Solo Da̱os',2:Solo Da̱os,,0.75
56,2:'Solo Da̱os',2:Solo Da̱os,,0.83
57,1:'Con Heridos',1:Con Heridos,,0.87
58,1:'Con Heridos',2:Solo Da̱os,+,0.72
59,2:'Solo Da̱os',2:Solo Da̱os,,0.76
60,2:'Solo Da̱os',2:Solo Da̱os,,0.98
61,2:'Solo Da̱os',2:Solo Da̱os,,0.84
62,1:'Con Heridos',2:Solo Da̱os,+,0.57
63,2:'Solo Da̱os',2:Solo Da̱os,,0.95
64,2:'Solo Da̱os',2:Solo Da̱os,,0.82
65,1:'Con Heridos',1:Con Heridos,,0.789
66,1:'Con Heridos',1:Con Heridos,,0.722
67,2:'Solo Da̱os',2:Solo Da̱os,,0.99
68,2:'Solo Da̱os',2:Solo Da̱os,,0.99
69,3:'Con Muertos',3:Con Muertos,,0.53
70,2:'Solo Da̱os',2:Solo Da̱os,,0.88
71,1:'Con Heridos',2:Solo Da̱os,+,0.97
72,2:'Solo Da̱os',2:Solo Da̱os,,0.92
73,2:'Solo Da̱os',2:Solo Da̱os,,0.58
74,2:'Solo Da̱os',2:Solo Da̱os,,0.773
75,1:'Con Heridos',1:Con Heridos,,0.94
76,2:'Solo Da̱os',2:Solo Da̱os,,0.98
77,2:'Solo Da̱os',2:Solo Da̱os,,0.93
78,2:'Solo Da̱os',2:Solo Da̱os,,0.89
79,2:'Solo Da̱os',2:Solo Da̱os,,0.48
80,2:'Solo Da̱os',2:Solo Da̱os,,0.94
81,1:'Con Heridos',2:Solo Da̱os,+,0.94
82,2:'Solo Da̱os',2:Solo Da̱os,,0.83
83,2:'Solo Da̱os',2:Solo Da̱os,,0.873
84,2:'Solo Da̱os',2:Solo Da̱os,,0.962
85,2:'Solo Da̱os',2:Solo Da̱os,,0.96
86,2:'Solo Da̱os',1:Con Heridos,+,0.52
87,2:'Solo Da̱os',2:Solo Da̱os,,0.96
88,2:'Solo Da̱os',2:Solo Da̱os,,0.915
89,2:'Solo Da̱os',2:Solo Da̱os,,0.96
90,2:'Solo Da̱os',2:Solo Da̱os,,0.97
91,2:'Solo Da̱os',2:Solo Da̱os,,0.74
92,2:'Solo Da̱os',2:Solo Da̱os,,0.93
93,2:'Solo Da̱os',2:Solo Da̱os,,0.92
94,1:'Con Heridos',1:Con Heridos,,0.99
95,2:'Solo Da̱os',2:Solo Da̱os,,1
96,2:'Solo Da̱os',2:Solo Da̱os,,0.95
97,2:'Solo Da̱os',2:Solo Da̱os,,0.87
98,1:'Con Heridos',1:Con Heridos,,0.95
99,2:'Solo Da̱os',2:Solo Da̱os,,0.91
100,2:'Solo Da̱os',2:Solo Da̱os,,0.96
